lemma	domains	subdomains	definitions
λυτρωτης	'[''Control, Rule'']'	'[''Release, Set Free'']'	'[''(derivative of {L:λυτρόω<SDBG:λυτρόω:000000>} ‘to liberate,’ {D:37.128}) a person who liberates or releases others'']'
λυχνος	'[''Artifacts'']'	'[''Lights and Light Holders'']'	'[''a light made by burning a wick saturated with oil contained in a relatively small vessel'']'
λυω	'[''Attachment'', ''Control, Rule'', ''Violence, Harm, Destroy, Kill'', ''Linear Movement'', ''Guide, Discipline, Follow'', ''Control, Rule'', ''Be, Become, Exist, Happen'', ''Be, Become, Exist, Happen'']'	'[''Fasten, Stick To'', ''Release, Set Free'', ''Destroy'', ''Disperse, Scatter'', ''Obey, Disobey'', ''Exercise Authority'', ''State'', ''Exist'']'	'[''to reverse the result of tying by untying'', ''to release from control, to set free (highly generic meaning applicable to a wide variety of circumstances, including confinement, political domination, sin, sickness){N:001}'', ''to destroy or reduce something to ruin by tearing down or breaking to pieces'', ''to cause a gathering to be dismissed or dispersed'', ''the failure to conform to a law or regulation, with a possible implication of regarding it as invalid'', ''to exercise authority over something on the basis of its being legitimate'', ''to cause a state to cease{N:002}'', ''to cause to cease to exist'']'
λωτ	'[''Names of Persons and Places'']'	'[''Persons'']'	'[''the nephew of Abraham'']'
μαδιαν	'[''Names of Persons and Places'']'	'[''Places'']'	'People descended from Abraham''s son Midian'
μαελεθ	'[''Behavior and Related States'']'	'[''Worship, Reverence'', ''Prostrate as an Act of Reverence or Supplication'']'	a musical or liturgical term (likely Hebrew origin)
μακαριζω	'[''Attitudes and Emotions'']'	'[''Happy, Glad, Joyful'']'	'[''to regard someone as happy or fortunate in view of favorable circumstances'']'
μακαριος	'[''Attitudes and Emotions'']'	'[''Happy, Glad, Joyful'']'	'[''pertaining to being happy, with the implication of enjoying favorable circumstances'']'
μακραν	'[''Spacial Positions'']'	'[''At, Beside, Near, Far'']'	'[''a position at a relatively great distance from another position{N:001}'']'
μακροθεν	'[''Spacial Positions'']'	'[''At, Beside, Near, Far'']'	'[''a position at a relatively great distance from another position{N:001}'']'
μακρόθυμος	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Patience, Endurance, Perseverance'']'	enduring difficult situations without complaint
μακρότης	'[''Degree'']'	'[''More Than, Less Than [Comparative Degree]'']'	a measure of extent in space or time
μακρύνω	'[''Linear Movement'', ''Linear Movement'']'	'[''Far'']'	to distance, remove to a far place
μαλλον	'[''Degree'', ''Relations'']'	'[''More Than, Less Than [Comparative Degree]'', ''Contrast'']'	'[''a degree which surpasses in some manner a point on an explicit or implicit scale of extent'', ''a marker of contrast indicating an alternative'']'
μανασσης	'[''Names of Persons and Places'']'	'[''Persons'']'	Son of Joseph; tribe of Israel; also a king of Judah
μάνδρα	'[''Artifacts'']'	'[''Animals'']'	a pen or fold for animals
μανθανω	'[''Learn'', ''Learn'', ''Understand'']'	'[''Learn'', ''Learn'', ''Come To Understand'']'	'[''to acquire information as the result of instruction, whether in an informal or formal context'', ''to learn from experience, often with the implication of reflection'', ''to come to understand as the result of a process of learning'']'
μανια	'[''Think'']'	'[''To Think, Thought'']'	'[''to think or reason in a completely irrational manner{N:001}'']'
μαννα	'[''Foods and Condiments'']'	'[''Food'']'	'[''the miraculous food given by God to the Israelites during their journey through the wilderness'']'
μαρτυρια	'[''Communication'', ''Communication'', ''Communication'']'	'[''Witness, Testify'', ''Witness, Testify'', ''Witness, Testify'']'	'[''to provide information about a person or an event concerning which the speaker has direct knowledge'', ''(derivative of {L:μαρτυρέω<SDBG:μαρτυρέω:000000>}[a] ‘to witness,’ {D:33.262}) the content of what is witnessed or said'', ''(derivative of {L:μαρτυρέω<SDBG:μαρτυρέω:000001>}[b] to speak well of, {D:33.263}) that which is said about a person on the basis of an evaluation of the persons conduct'']'
μαρτυριον	'[''Communication'', ''Communication'']'	'[''Witness, Testify'', ''Witness, Testify'']'	'[''to provide information about a person or an event concerning which the speaker has direct knowledge'', ''(derivative of {L:μαρτυρέω<SDBG:μαρτυρέω:000000>}[a] ‘to witness,’ {D:33.262}) the content of what is witnessed or said'']'
μαρτυς	'[''Communication'', ''Violence, Harm, Destroy, Kill'']'	'[''Witness, Testify'', ''Kill'']'	'[''(derivative of {L:μαρτυρέω<SDBG:μαρτυρέω:000000>}[a] ‘to witness,’ {D:33.262}) a person who witnesses'', ''a person who has been deprived of life as the result of bearing witness to his beliefs'']'
μαστιγοω	'[''Physical Impact'', ''Punish, Reward'']'	'[''Hit, Strike'', ''Punish'']'	'[''to beat severely with a whip'', ''to punish severely, implying whipping'']'
μαστιξ	'[''Physical Impact'', ''Physiological Processes and States'']'	'[''Hit, Strike'', ''Sickness, Disease, Weakness'']'	'[''to beat severely with a whip'', ''a state of disease, often implying divine punishment'']'
μαστος	'[''Body, Body Parts, and Body Products'']'	'[''Parts of the Body'']'	'[''the breast of both humans and animals, with special reference to the mammary glands'']'
ματαιος	'[''Value'']'	'[''Useful, Useless'']'	'[''pertaining to being useless on the basis of being futile and lacking in content'']'
ματαιοτης	'[''Value'']'	'[''Useful, Useless'']'	'[''pertaining to being useless on the basis of being futile and lacking in content'']'
ματαίως	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Useful, Useless'']'	in a manner that produces no result; fruitlessly
ματην	'[''Relations'']'	'[''Result'']'	'[''pertaining to being without any result'']'
μαχαιρα	'[''Artifacts'', ''Military Activities'', ''Violence, Harm, Destroy, Kill'', ''Hostility, Strife'', ''Punish, Reward'']'	'[''Weapons and Armor'', ''To Fight'', ''Kill'', ''Strife, Struggle'', ''Punish'']'	'[''a relatively short sword (or even dagger) used for cutting and stabbing'', ''(figurative extension of meaning of {L:μάχαιρα<SDBG:μάχαιρα:000000>}[a] ‘sword,’ {D:6.33})'', ''(a figurative extension of meaning of {L:μάχαιρα<SDBG:μάχαιρα:000000>}[a] ‘sword,’ {D:6.33}) death by violence or execution'', ''(a figurative extension of meaning of {L:μάχαιρα<SDBG:μάχαιρα:000000>}[a] ‘sword,’ {D:6.33}) a state of discord and strife'', ''(an idiom, literally: to bear the sword) to have the capacity or authority to punish'']'
με	'[''Speech and language'']'	'[''Grammar'']'	accusative form of first person singular pronoun
μεγαλαυχέω	'[''Communication'']'	'[''Boast'']'	to speak with pride or arrogance
μεγαλειος	'[''Power, Force'']'	'[''Just, Righteous'']'	'[''a deed of importance and power'']'
μεγαλοπρέπεια	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Glorious'']'	grandeur or splendor in appearance or manner
μεγαλορρημονέω	'[''Communication'']'	'[''Boast'']'	to speak in an exaggerated, proud manner
μεγαλορρήμων	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Arrogance, Haughtiness, Pride'']'	one who speaks with arrogance or exaggeration
μεγαλοσύνη	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Glorious'']'	quality of being great in power or dignity
μεγαλυνω	'[''Features of Objects'', ''Communication'', ''Status'']'	'[''Large, Small'', ''Praise'', ''Honor or Respect in Relation to Status'']'	'[''to cause to be large'', ''to praise a person in terms of that individuals greatness'', ''to show respect to a person on the basis of the importance of such an individual'']'
μεγαλωσυνη	'[''Status'', ''Supernatural Beings and Powers'']'	'[''High Status or Rank [including persons of high status]'', ''Supernatural Beings'']'	'[''a state of greatness or importance'', ''(a title for God, literally: majesty) one who is characterized by majesty and greatness'']'
μεγας	'[''Quantity'', ''Degree'', ''Features of Objects'', ''Status'', ''Attitudes and Emotions'', ''Degree'', ''Status'', ''Time'', ''Value'', ''Time'', ''Status'']'	'[''Much, Little [Masses, Collectives, Extensions]'', ''Much, Little [Positive-Negative Degree]'', ''Large, Small'', ''High Status or Rank [including persons of high status]'', ''Surprise, Astonish'', ''More Than, Less Than [Comparative Degree]'', ''High Status or Rank [including persons of high status]'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'', ''Important, Unimportant'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'']'	'[''a large quantity, involving extent'', ''the upper range of a scale of extent, with the possible implication of importance in relevant contexts'', ''a large size, relative to the norm for the class of objects in question'', ''pertaining to being great in terms of status'', ''pertaining to being surprising in view of being important'', ''a degree which surpasses in some manner a point on an explicit or implicit scale of extent{N:001}'', ''pertaining to having a higher status in comparison to something else'', ''pertaining to the older of two objects'', ''pertaining to being extremely important'', ''pertaining to a relatively long duration of time'', ''persons of important or high status'']'
μεθυω	'[''Moral and Ethical Qualities and Related Behavior'', ''Physiological Processes and States'']'	'[''Drunkenness'', ''Eat, Drink'']'	'[''to become drunk on alcoholic beverages'', ''to drink wine or beer (distilled alcoholic beverages were not known in the ancient world), usually with emphasis upon drinking relatively large quantities'']'
μελεταω	'[''Think'', ''Think'', ''Aspect'']'	'[''To Think, Thought'', ''To Intend, To Purpose, To Plan'', ''Continue'']'	'[''to keep on giving serious consideration to something'', ''to think seriously about a particular course of action'', ''to continue to perform certain activities with care and concern'']'
μελέτη	'[''Attitudes and Emotions'', ''Think'']'	'[''Learn'']'	focused thought, especially for learning or reflection
μελι	'[''Foods and Condiments'']'	'[''Food'']'	'[''a sweet substance produced by bees from flower nectar'']'
μέλισσα	'[''Animals'']'	'[''Insects'']'	a stinging, honey-producing insect
μελλω	'[''Time'', ''Mode'', ''Time'', ''Time'']'	'[''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Necessary, Unnecessary'', ''Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From'', ''Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From'']'	'[''to occur at a point of time in the future which is subsequent to another event and closely related to it'', ''to be inevitable, with respect to future developments'', ''to extend time unduly, with the implication of lack of decision'', ''unlimited extent of time beginning with the time of the discourse'']'
